area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Burundi,Sunflowerseed Cake,61439.465153566314,-61422.66554880619,-1.0,-5.0956686911134375
Botswana,Sesame seed,12917.581979237577,-12917.581979237577,-1.0,-5.118831823710246
Costa Rica,Rape and Mustard Cake,26169.300462997813,-26169.300462997813,-1.0,-5.125849222943541
Central African Republic,Beer,54771.31904806651,-27072.867316095508,-0.9774144626591743,-5.135192299145624
Barbados,"Oilcrops Oil, Other",5277.168029226357,-1449.8679340569643,-0.3788226420726475,-5.1702151863300045
Saint Vincent and the Grenadines,"Alcohol, Non-Food",549.5396640559119,-549.5396640559119,-1.0,-5.248105890976316
Cambodia,Sugar (Raw Equivalent),509131.9707590192,-85683.32545476186,-0.20234643894821414,-5.257845683478798
Namibia,"Pulses, Other and products",36469.76432133729,-13259.013819487103,-0.5712445109618578,-5.3743818370837655
Cuba,"Oilcrops Oil, Other",64178.05620840276,-61317.33254610133,-1.0,-5.421881066599135
Costa Rica,"Beverages, Fermented",27712.665720180423,-27712.665720180423,-1.0,-5.428152206373817
Turkey,Millet and products,473042.28610747185,-454943.9084843908,-1.0,-5.428168282227758
Democratic Republic of the Congo,Sorghum and products,506259.04007815296,-501259.04007815296,-1.0,-5.4883207911158465
Myanmar,Sesame seed,650172.3356136016,-294112.87748160516,-0.8260218083367785,-5.52553238374623
Cambodia,Sunflower seed,90342.84892411472,-90342.84892411472,-1.0,-5.543771273205586
Switzerland,"Oilcrops Oil, Other",121577.80409652338,-48025.74586455777,-0.6529490407065979,-5.58021622023784
Chile,Sugar (Raw Equivalent),835787.734306438,-107376.35481633467,-0.14741169322684033,-5.590571097751714
Estonia,Sugar (Raw Equivalent),42390.228464487765,-7459.906622731942,-0.21356535609741623,-5.612809571940373
Mozambique,Sesame seed,308207.8761735216,-175207.87617352116,-1.0,-5.703241775250852
Slovenia,Millet and products,12477.76277021585,-12109.76277021585,-1.0,-5.722268789452225
Solomon Islands,Sugar (Raw Equivalent),13418.229694573112,-3957.6313162837287,-0.41832780105811107,-5.7953561317207845
Togo,"Beverages, Alcoholic",64947.872649671415,-48799.07918021149,-1.0,-5.849640213991967
"China, Macao SAR",Millet and products,3921.7885827869054,-3921.7885827869054,-1.0,-5.853249807523228
Nigeria,Sunflowerseed Oil,1207263.913760116,-1205682.517375518,-1.0,-5.8590680883954
Chad,Sunflowerseed Cake,97194.15699646324,-97194.15699646324,-1.0,-5.934004469481432
Botswana,"Alcohol, Non-Food",16294.159461727688,-15260.158686512543,-1.0,-6.047121361021098
Madagascar,"Alcohol, Non-Food",180804.1560529379,-169461.0040201894,-1.0,-6.078417724719949
New Zealand,"Alcohol, Non-Food",57103.142112346744,-31531.086304595952,-1.0,-6.27297550910136
Saint Kitts and Nevis,"Beverages, Fermented",300.1977193219924,-300.1977193219924,-1.0,-6.295961060422232
Costa Rica,Beer,118292.91727717004,-32251.41724577463,-0.374835599495668,-6.317169320663764
"China, Macao SAR","Alcohol, Non-Food",4257.021277048989,-4257.021277048989,-1.0,-6.35358292384095
Botswana,"Oilcrops Oil, Other",18961.79215186157,-16170.726081669716,-1.0,-6.407950606576123
Indonesia,Millet and products,1811878.9281042083,-1735874.0161923764,-1.0,-6.409558131217875
