area,item,ai_e_index,combined_shocks
Angola,"Oilcrops Oil, Other",,3484.817524099384
Angola,"Oilcrops, Other",,6840.730597402542
Angola,"Oilseed Cakes, Other",,1.0725948167101802
Angola,Olive Oil,,1828.0165312826578
Angola,Olives (including preserved),,1.1638434097287127
Angola,Onions,,61935.15324092665
Angola,"Oranges, Mandarines",,5437.050588529373
Angola,Palm Oil,,22504.06277181811
Angola,Palm kernels,,0.0
Angola,Palmkernel Cake,,0.7632463934636051
Angola,Palmkernel Oil,,1.0017794914366989
Angola,Peas,,20.889173629297
Angola,Pepper,,0.0
Angola,Pigmeat,,
Angola,Pigs,,
Angola,Pimento,,0.0017103183979054906
Angola,Pineapples and products,,1201.7630863333443
Angola,Plantains,,0.0
Angola,Potatoes and products,,101814.61363533005
Angola,Poultry Birds,,
Angola,Poultry Meat,,
Angola,"Pulses, Other and products",,37972.83838692715
Angola,Rabbits and hares,,
Angola,Rape and Mustard Cake,,1363.7481600761473
Angola,Rape and Mustard Oil,,3917.3534815927246
Angola,Rape and Mustardseed,,-435.95060249881203
Angola,Rice and products,,733240.3842039783
Angola,Ricebran Oil,,0.0
Angola,"Rodents, other",,0.0
Angola,"Roots, Other",,39.19441826954252
Angola,Rubber,,0.2776914076690598
Angola,Rye and products,,1.5497898073582124
Angola,Seed cotton,,8973.547194524252
Angola,Sesame seed,,4843.417195809142
Angola,Sesameseed Cake,,0.0
Angola,Sesameseed Oil,,-18.188854097354238
Angola,Sheep,,
Angola,Silk,,0.0
Angola,Sisal,,929.8054334967044
Angola,"Soft-Fibres, Other",,10.10396161327079
Angola,Sorghum and products,,75544.42764761361
Angola,Soyabean Cake,,-20296279.526833706
Angola,Soyabean Oil,,-48065761.99925926
Angola,Soyabeans,,-707930.5842475647
Angola,"Spices, Other",,995.0287462439775
Angola,Sugar (Raw Equivalent),,405984.70487435674
Angola,Sugar beet,,0.0
Angola,Sugar cane,,-28545.08415950844
Angola,Sugar non-centrifugal,,0.0
Angola,Sunflower seed,,20176.60976846375
Angola,Sunflowerseed Cake,,5784.444166783707
Angola,Sunflowerseed Oil,,-52844.20133803867
Angola,Sweet potatoes,,2905432.5969099887
Angola,"Sweeteners, Other",,145870.68178223088
Angola,Tea (including mate),,0.04284813783793418
Angola,Tobacco,,8276.401159891559
Angola,Tomatoes and products,,87541.78491515477
Angola,"Vegetables, Other",,1227736.4145637495
Angola,Wheat and products,,712357.9747868921
Angola,Wine,,26011.893778298363
Angola,Wool (Clean Eq.),,
Angola,Yams,,0.0
Antigua and Barbuda,Abaca,,0.0
Antigua and Barbuda,"Alcohol, Non-Food",,17.004060697421536
Antigua and Barbuda,Apples and products,,0.0
